Bank Name,City,State,Cert,Acquiring Institution,Closing Date,Fund,State_full_name,State_standard,Country
First Banking Center,Burlington,WI,5287,First Michigan Bank,2010-11-19,10315,Wisconsin,Wis.,United States
Allegiance Bank of North America,Bala Cynwyd,PA,35078,VIST Bank,2010-11-19,10314,Pennsylvania,Pa.,United States
Gulf State Community Bank,Carrabelle,FL,20340,Centennial Bank,2010-11-19,10316,Florida,Fla.,United States
Copper Star Bank,Scottsdale,AZ,35463,"Stearns Bank, N.A.",2010-11-12,10311,Arizona,Ariz.,United States
Darby Bank & Trust Co.,Vidalia,GA,14580,Ameris Bank,2010-11-12,10312,Georgia,Ga.,United States
Tifton Banking Company,Tifton,GA,57831,Ameris Bank,2010-11-12,10313,Georgia,Ga.,United States
First Vietnamese American Bank,Westminster,CA,57885,Grandpoint Bank,2010-11-05,10307,California,Calif.,United States
Pierce Commercial Bank,Tacoma,WA,34411,Heritage Bank,2010-11-05,10309,Washington,Wash.,United States
Western Commercial Bank,Woodland Hills,CA,58087,First California Bank,2010-11-05,10310,California,Calif.,United States
K Bank,Randallstown,MD,31263,Manufacturers and Traders Trust Company (M&T Bank),2010-11-05,10308,Maryland,Md.,United States
"First Arizona Savings, A FSB",Scottsdale,AZ,32582,No Acquirer,2010-10-22,10306,Arizona,Ariz.,United States
Hillcrest Bank,Overland Park,KS,22173,"Hillcrest Bank, N.A.",2010-10-22,10302,Kansas,Kan.,United States
First Suburban National Bank,Maywood,IL,16089,Seaway Bank and Trust Company,2010-10-22,10301,Illinois,Ill.,United States
The First National Bank of Barnesville,Barnesville,GA,2119,United Bank,2010-10-22,10304,Georgia,Ga.,United States
The Gordon Bank,Gordon,GA,33904,Morris Bank,2010-10-22,10305,Georgia,Ga.,United States
Progress Bank of Florida,Tampa,FL,32251,Bay Cities Bank,2010-10-22,10303,Florida,Fla.,United States
First Bank of Jacksonville,Jacksonville,FL,27573,Ameris Bank,2010-10-22,10300,Florida,Fla.,United States
Premier Bank,Jefferson City,MO,34016,Providence Bank,2010-10-15,10297,Missouri,Mo.,United States
WestBridge Bank and Trust Company,Chesterfield,MO,58205,Midland States Bank,2010-10-15,10299,Missouri,Mo.,United States
"Security Savings Bank, F.S.B.",Olathe,KS,30898,Simmons First National Bank,2010-10-15,10298,Kansas,Kan.,United States
Shoreline Bank,Shoreline,WA,35250,GBC International Bank,2010-10-01,10295,Washington,Wash.,United States
Wakulla Bank,Crawfordville,FL,21777,Centennial Bank,2010-10-01,10296,Florida,Fla.,United States
North County Bank,Arlington,WA,35053,Whidbey Island Bank,2010-09-24,10294,Washington,Wash.,United States
Haven Trust Bank Florida,Ponte Vedra Beach,FL,58308,First Southern Bank,2010-09-24,10293,Florida,Fla.,United States
Maritime Savings Bank,West Allis,WI,28612,"North Shore Bank, FSB",2010-09-17,10291,Wisconsin,Wis.,United States
Bramble Savings Bank,Milford,OH,27808,Foundation Bank,2010-09-17,10288,Ohio,Ohio,United States
The Peoples Bank,Winder,GA,182,Community & Southern Bank,2010-09-17,10292,Georgia,Ga.,United States
First Commerce Community Bank,Douglasville,GA,57448,Community & Southern Bank,2010-09-17,10289,Georgia,Ga.,United States
Bank of Ellijay,Ellijay,GA,58197,Community & Southern Bank,2010-09-17,10287,Georgia,Ga.,United States
ISN Bank,Cherry Hill,NJ,57107,Customers Bank,2010-09-17,10290,New Jersey,N.J.,United States
Horizon Bank,Bradenton,FL,35061,Bank of the Ozarks,2010-09-10,10286,Florida,Fla.,United States
Sonoma Valley Bank,Sonoma,CA,27259,Westamerica Bank,2010-08-20,10285,California,Calif.,United States
